id,HOUSE,SENATE,GOP,DEM,IND,MALE,FEMALE,COMMITTEE,COMMITTEE_RANK,LEADERSHIP,LEADERSHIP_RANK,COSPONSORED,COSPONSORED_RANK,COSPONSORS,COSPONSORS_RANK,SPONSORED,SPONSORED_RANK,IDEOLOGY,IDEOLOGY_RANK,election_recent,election_past
A000055,1,0,1,0,0,1,0,2,53,0.304402647,341,132,410,63,377,5,403,0.722933339,161,1,1
A000367,1,0,1,0,0,1,0,0,270,0.270541217,366,51,433,74,364,9,343,0.561538,245,1,1
A000369,1,0,1,0,0,1,0,1,70,0.544997007,189,324,151,178,252,13,251,0.801950468,88,1,1
A000370,1,0,0,1,0,0,1,1,70,0.447387766,249,274,214,286,168,18,164,0.281572233,356,1,1
A000371,1,0,0,1,0,1,0,0,270,0.106630058,416,274,214,47,392,8,355,0.327052472,323,1,1
A000372,1,0,1,0,0,1,0,0,270,0.376354085,301,271,222,78,358,3,423,0.892884156,18,1,1
A000373,1,0,0,1,0,1,0,0,270,0.142739861,408,392,84,38,401,11,289,0.573258284,242,0,0
A000374,1,0,1,0,0,1,0,1,70,0.418811006,273,282,201,130,293,16,198,0.873556519,33,1,1
B000213,1,0,1,0,0,1,0,0,270,0.755213254,60,137,402,401,113,10,314,0.691908553,191,0,1
B000287,1,0,0,1,0,1,0,1,70,0.392961441,292,142,397,170,261,19,153,0.330634733,319,0,1
B000490,1,0,0,1,0,1,0,1,70,0.308098871,338,296,185,100,328,4,411,0.444924524,266,1,1
B000574,1,0,0,1,0,1,0,0,270,0.530530394,197,633,15,397,114,32,38,0.248075338,383,1,1
B000589,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B000755,1,0,1,0,0,1,0,10,2,0.901864891,12,119,417,736,32,24,93,0.711428377,175,1,1
B000911,1,0,0,1,0,0,1,5,12,0.458712779,239,406,72,215,211,16,198,0.259599767,374,0,0
B001227,1,0,0,1,0,1,0,5,12,0.280887521,358,349,121,106,320,17,182,0.377030679,282,1,1
B001243,1,0,1,0,0,0,1,5,12,0.712525807,73,336,135,370,127,32,38,0.927147054,9,1,1
B001245,1,0,0,1,0,0,1,1,70,0.312541935,334,325,148,92,342,11,289,0.346382075,305,0,1
B001248,1,0,1,0,0,1,0,1,70,0.696382359,82,260,244,440,104,55,7,0.809831141,83,1,1
B001250,1,0,1,0,0,1,0,5,12,0.522724951,204,197,335,140,281,14,232,0.785152073,104,1,1
B001251,1,0,0,1,0,1,0,0,270,0.668185448,95,289,192,488,88,14,232,0.321464677,330,1,1
B001255,1,0,1,0,0,1,0,1,70,0.947584122,6,358,110,919,16,39,18,0.896273472,15,0,0
B001257,1,0,1,0,0,1,0,0,270,0.775458133,52,267,229,528,76,27,68,0.751201141,134,1,1
B001260,1,0,1,0,0,1,0,1,70,0.647083567,108,151,385,271,175,19,153,0.673253217,204,1,1
B001269,1,0,1,0,0,1,0,1,70,0.547532273,187,306,172,248,188,22,111,0.817995166,76,0,1
B001270,1,0,0,1,0,0,1,1,70,0.603289558,142,322,153,451,99,15,221,0.239025746,391,1,1
B001271,1,0,1,0,0,1,0,1,70,0.626442951,120,242,273,287,167,11,289,0.772334212,111,1,0
B001273,1,0,1,0,0,0,1,0,270,0.994914461,2,299,182,1241,5,39,18,0.895483294,17,0,1
B001274,1,0,1,0,0,1,0,1,70,0.425096603,269,316,157,117,307,10,314,0.89085,19,1,1
B001275,1,0,1,0,0,1,0,0,270,0.43821427,257,216,308,99,332,13,251,0.786230758,103,1,1
B001278,1,0,0,1,0,0,1,1,70,0.350902448,316,362,108,183,246,13,251,0.276957824,364,1,1
B001281,1,0,0,1,0,0,1,0,270,0.585787324,160,486,35,555,70,24,93,0.312997885,339,1,1
B001282,1,0,1,0,0,1,0,0,270,0.72750101,70,307,169,406,111,16,198,0.895509229,16,1,1
B001283,1,0,1,0,0,1,0,1,70,0.21708769,389,219,302,37,403,10,314,0.827966451,67,0,1
B001284,1,0,1,0,0,0,1,0,270,0.801830505,47,260,244,496,83,13,251,0.722954805,160,1,1
B001285,1,0,0,1,0,0,1,1,70,0.435713536,260,479,37,218,206,17,182,0.29781902,345,1,1
B001286,1,0,0,1,0,0,1,0,270,0.51238659,212,346,125,303,154,12,274,0.373655165,284,1,1
B001287,1,0,0,1,0,1,0,0,270,0.20658361,394,216,308,52,382,10,314,0.4343772,267,1,1
B001289,1,0,1,0,0,1,0,0,270,0.599199714,146,300,180,236,194,26,75,0.86864445,36,1,1
B001290,1,0,1,0,0,1,0,0,270,0.500620047,219,245,270,179,250,19,153,0.863481139,40,0,1
B001291,1,0,1,0,0,1,0,1,70,0.650183016,105,390,86,337,140,13,251,0.984340019,2,1,1
B001292,1,0,0,1,0,1,0,1,70,0.609516717,133,410,68,614,55,19,153,0.256247688,377,1,1
B001293,1,0,1,0,0,1,0,0,270,0.655804049,101,282,201,250,184,5,403,0.832969183,60,0,1
B001294,1,0,1,0,0,1,0,0,270,0.22647345,385,251,258,44,395,11,289,0.813298306,79,0,1
B001295,1,0,1,0,0,1,0,0,270,0.343941084,320,193,340,73,368,6,390,0.73447411,150,1,1
B001296,1,0,0,1,0,1,0,0,270,0.019842378,433,347,124,4,430,9,343,0.354043585,300,1,1
B001297,1,0,1,0,0,1,0,1,70,0.372066151,302,147,389,83,351,8,355,0.748530197,137,1,1
C000059,1,0,1,0,0,1,0,1,70,0.336894149,325,206,320,95,335,17,182,0.730669747,156,1,1
C000266,1,0,1,0,0,1,0,5,12,0.762974133,57,329,144,555,70,36,25,0.832541665,61,1,1
C000537,1,0,0,1,0,1,0,0,270,0.352595641,313,111,420,175,255,6,390,0.355211943,299,1,1
C000714,1,0,0,1,0,1,0,5,12,0.578354671,164,638,14,631,54,32,38,0.127061352,427,0,1
C000754,1,0,0,1,0,1,0,1,70,0.29558094,349,177,354,100,328,7,369,0.517432275,251,1,1
C000984,1,0,0,1,0,1,0,10,2,0.382076325,297,372,99,213,213,22,111,0.19892653,410,1,1
C001036,1,0,0,1,0,0,1,0,270,0.563208346,173,274,214,516,78,25,84,0.279546155,360,0,0
C001037,1,0,0,1,0,1,0,1,70,0.341331109,323,316,157,136,289,20,131,0.322136202,328,0,1
C001038,1,0,0,1,0,1,0,0,270,0.568725123,169,255,253,326,142,20,131,0.291294343,348,0,1
C001045,1,0,1,0,0,1,0,1,70,0.333046275,327,178,352,68,372,6,390,0.663753521,209,0,0
C001048,1,0,1,0,0,1,0,1,70,0.283969631,356,206,320,72,370,16,198,0.836438003,57,0,1
C001049,1,0,0,1,0,1,0,1,70,0.337596348,324,269,224,111,316,9,343,0.320755464,331,1,1
C001051,1,0,1,0,0,1,0,1,70,0.560931954,177,154,380,207,217,7,369,0.759641932,125,1,1
C001053,1,0,1,0,0,1,0,1,70,0.489352067,223,282,201,168,264,18,164,0.766349499,119,1,1
C001059,1,0,0,1,0,1,0,1,70,0.088705847,422,253,257,19,421,3,423,0.452071368,262,1,1
C001061,1,0,0,1,0,1,0,1,70,0.06097282,424,216,308,9,425,2,429,0.362235119,294,1,1
C001062,1,0,1,0,0,1,0,5,12,0.85361876,24,158,373,652,51,16,198,0.772635042,110,1,1
C001063,1,0,0,1,0,1,0,0,270,0.314728947,332,157,375,80,355,8,355,0.562378241,244,1,1
C001066,1,0,0,1,0,0,1,0,270,0.660678796,100,303,177,339,138,12,274,0.274072923,366,1,1
C001067,1,0,0,1,0,0,1,0,270,0.123390403,413,518,32,35,407,7,369,0.122171498,428,1,1
C001068,1,0,1,0,0,1,0,1,70,0.607281286,135,756,8,530,75,30,47,0.181064691,414,1,1
C001069,1,0,0,1,0,1,0,1,70,0.751913507,62,307,169,775,29,9,343,0.387404488,280,1,1
C001072,1,0,0,1,0,1,0,1,70,0.532154034,196,392,84,346,135,18,164,0.279538322,361,1,1
C001076,1,0,1,0,0,1,0,5,12,0.761126104,58,139,400,480,91,37,24,0.712634384,173,0,1
C001077,1,0,1,0,0,1,0,1,70,0.519899113,206,331,141,246,190,18,164,0.740190569,144,0,1
C001078,1,0,0,1,0,1,0,1,70,0.623900016,122,465,47,435,105,17,182,0.333812414,314,1,1
C001080,1,0,0,1,0,0,1,2,53,0.530210613,198,653,11,419,107,17,182,0.097032142,434,1,1
C001083,1,0,0,1,0,1,0,0,270,0.214695956,390,206,320,47,392,18,164,0.446828554,265,0,1
C001084,1,0,0,1,0,1,0,0,270,0.748412372,63,562,24,1161,7,35,28,0.216050888,404,1,1
C001087,1,0,1,0,0,1,0,1,70,0.370669436,303,178,352,114,312,13,251,0.78963117,99,1,1
C001090,1,0,0,1,0,1,0,0,270,0.846423803,26,597,17,1455,3,65,4,0.267618033,370,1,1
C001091,1,0,0,1,0,1,0,0,270,0.394995382,290,154,380,203,224,13,251,0.364533308,290,1,1
C001092,1,0,1,0,0,1,0,0,270,0.537966571,193,339,130,217,208,20,131,0.831026145,63,1,1
C001093,1,0,1,0,0,1,0,1,70,0.820131082,41,184,349,583,59,38,21,0.766767226,118,1,1
C001094,1,0,1,0,0,1,0,1,70,0.273036135,362,291,187,82,353,13,251,0.739039784,145,1,1
C001096,1,0,1,0,0,1,0,0,270,0.559078434,179,469,45,204,222,9,343,0.96625224,4,1,1
C001097,1,0,0,1,0,1,0,0,270,0.643091582,111,476,43,725,34,29,51,0.262856662,371,1,1
C001101,1,0,0,1,0,0,1,0,270,0.742374397,66,434,54,743,31,20,131,0.215529399,405,1,1
C001102,1,0,1,0,0,1,0,0,270,0.247776282,375,149,388,67,374,13,251,0.661308788,213,0,0
C001103,1,0,1,0,0,1,0,0,270,0.468171641,233,311,166,169,263,10,314,0.880095225,27,1,1
C001105,1,0,1,0,0,0,1,1,70,0.129766703,411,282,201,25,417,7,369,0.707803207,179,0,1
C001106,1,0,1,0,0,1,0,0,270,0.29806698,347,365,106,81,354,7,369,0.698426175,185,1,1
C001107,1,0,1,0,0,1,0,1,70,0.828822247,35,328,147,681,43,24,93,0.683697925,197,0,1
C001108,1,0,1,0,0,1,0,0,270,0.019560987,434,1,439,0,436,0,437,0.498892524,254,1,1
D000096,1,0,0,1,0,1,0,0,270,0.324405528,329,338,133,138,284,18,164,0.259330964,375,1,1
D000191,1,0,0,1,0,1,0,5,12,0.58908874,156,421,64,419,107,29,51,0.365119455,289,1,1
D000197,1,0,0,1,0,0,1,1,70,0.572956266,168,206,320,344,137,11,289,0.344296516,307,1,1
D000216,1,0,0,1,0,0,1,1,70,0.773677443,53,377,96,1647,1,48,10,0.225490285,403,1,1
D000399,1,0,0,1,0,1,0,1,70,0.593261845,153,213,313,511,80,11,289,0.319312256,332,1,1
D000482,1,0,0,1,0,1,0,0,270,0.282774746,357,215,311,89,347,4,411,0.375392321,283,1,1
D000533,1,0,1,0,0,1,0,5,12,0.41011037,277,265,231,104,324,13,251,0.863721307,39,0,1
D000598,1,0,0,1,0,0,1,1,70,0.69235368,86,290,190,580,60,28,58,0.280256789,357,1,1
D000600,1,0,1,0,0,1,0,1,70,0.444591252,253,153,383,115,311,5,403,0.614103976,237,1,1
D000604,1,0,1,0,0,1,0,7,4,0.825183377,37,187,347,575,62,16,198,0.636461827,225,0,1
D000610,1,0,0,1,0,1,0,1,70,0.650246559,104,390,86,478,93,26,75,0.2827866,353,1,1
D000612,1,0,1,0,0,1,0,1,70,0.464838988,235,158,373,182,247,17,182,0.620996393,233,0,1
D000613,1,0,1,0,0,1,0,0,270,0.698437283,80,310,167,314,148,15,221,0.606958645,238,0,0
D000614,1,0,1,0,0,1,0,1,70,0.712158421,75,175,359,378,124,33,34,0.733979586,151,1,1
D000615,1,0,1,0,0,1,0,1,70,0.435490331,261,349,121,116,310,6,390,0.950716686,6,1,1
D000616,1,0,1,0,0,1,0,0,270,0.456308712,241,291,187,114,312,7,369,0.889404804,20,1,1
D000617,1,0,0,1,0,0,1,1,70,0.597654911,147,395,82,604,56,18,164,0.331134393,318,1,1
D000619,1,0,1,0,0,1,0,1,70,0.839815229,28,349,121,557,69,21,124,0.746762969,141,1,1
D000620,1,0,0,1,0,1,0,0,270,0.538718113,192,322,153,358,131,22,111,0.408252099,273,0,1
D000621,1,0,1,0,0,1,0,2,53,0.654708487,102,195,337,311,151,15,221,0.756573971,130,1,1
D000622,1,0,0,1,0,0,1,1,70,0.548438393,185,360,109,555,70,29,51,0.358801586,298,0,1
D000623,1,0,0,1,0,1,0,0,270,0.342275163,322,519,31,177,254,16,198,0.155311814,421,1,1
D000624,1,0,0,1,0,0,1,1,70,0.103055692,419,315,161,33,411,8,355,0.255973218,379,1,1
D000625,1,0,1,0,0,1,0,1,70,0.213713852,391,189,343,48,388,10,314,0.586736232,239,0,1
D000626,1,0,1,0,0,1,0,0,270,0.4390002,256,19,435,93,339,2,429,0.548642534,248,1,1
E000179,1,0,0,1,0,1,0,5,12,0.819323986,42,398,79,848,21,36,25,0.278789472,362,1,1
E000215,1,0,0,1,0,0,1,1,70,0.384354056,296,440,52,188,239,12,274,0.296930367,346,1,1
E000288,1,0,0,1,0,1,0,0,270,0.508077686,214,560,25,444,100,39,18,0.096083898,435,1,1
E000290,1,0,0,1,0,0,1,1,70,0.38077717,298,428,57,249,185,10,314,0.121485106,429,0,0
E000291,1,0,1,0,0,0,1,0,270,0.687723613,87,268,226,391,120,28,58,0.802807199,87,0,0
E000293,1,0,0,1,0,0,1,0,270,0.585975929,159,402,75,443,101,20,131,0.322594117,326,0,1
E000294,1,0,1,0,0,1,0,0,270,0.47982532,227,260,244,154,272,19,153,0.814780178,78,1,1
E000296,1,0,0,1,0,1,0,0,270,0.019560987,434,2,438,0,436,0,437,0.491780889,255,0,1
F000030,1,0,0,1,0,1,0,1,70,0.163231926,405,393,83,48,388,4,411,0.225688162,402,0,0
F000043,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F000372,1,0,1,0,0,1,0,2,53,0.136415361,410,145,391,22,418,6,390,0.623863058,231,0,1
F000445,1,0,1,0,0,1,0,1,70,0.265600302,369,235,281,51,384,13,251,0.7951383,95,0,0
F000448,1,0,1,0,0,1,0,2,53,0.868357953,20,383,92,669,47,19,153,0.917015379,12,0,1
F000449,1,0,1,0,0,1,0,1,70,0.878717093,19,209,317,655,49,17,182,0.722794748,162,1,1
F000450,1,0,1,0,0,0,1,6,5,0.420187243,272,71,430,110,317,32,38,0.634043331,226,1,1
F000451,1,0,1,0,0,1,0,1,70,0.693671584,83,334,137,459,97,22,111,0.672366185,207,1,0
F000454,1,0,0,1,0,1,0,0,270,0.46872681,232,275,212,249,185,28,58,0.312438976,340,1,1
F000455,1,0,0,1,0,0,1,1,70,0.35880665,311,331,141,161,268,11,289,0.239887428,390,1,1
F000456,1,0,1,0,0,1,0,1,70,0.559848365,178,160,371,172,258,16,198,0.77350952,109,0,0
F000458,1,0,1,0,0,1,0,0,270,0.52078779,205,172,362,188,239,14,232,0.787089935,100,0,0
F000459,1,0,1,0,0,1,0,1,70,0.498459288,221,173,361,151,274,7,369,0.770621516,113,1,1
F000460,1,0,1,0,0,1,0,2,53,0.403112851,284,390,86,112,315,14,232,0.926176631,10,0,1
F000461,1,0,1,0,0,1,0,0,270,0.577338871,166,248,265,180,248,12,274,0.883529669,24,1,1
F000462,1,0,0,1,0,0,1,0,270,0.603470758,141,351,118,394,115,11,289,0.313736783,337,1,1
G000289,1,0,1,0,0,1,0,5,12,0.946838935,7,210,316,909,17,23,102,0.786947499,101,0,1
G000377,1,0,1,0,0,0,1,2,53,0.021639738,431,133,405,2,433,4,411,0.67507015,203,1,1
G000410,1,0,0,1,0,1,0,1,70,0.410115864,276,271,222,197,229,14,232,0.427486673,270,0,1
G000535,1,0,0,1,0,1,0,0,270,0.097395271,420,401,76,27,415,4,411,0.167923686,418,0,1
G000546,1,0,1,0,0,1,0,1,70,0.858807477,22,219,302,725,34,22,111,0.800274927,90,1,1
G000548,1,0,1,0,0,1,0,1,70,0.473777203,228,109,421,143,279,24,93,0.668582948,208,0,0
G000551,1,0,0,1,0,1,0,5,12,0.699064526,79,878,2,1032,11,42,14,0,439,1,1
G000552,1,0,1,0,0,1,0,2,53,0.361704338,310,218,306,86,350,10,314,0.831831191,62,1,1
G000553,1,0,0,1,0,1,0,1,70,0.558137521,181,254,255,517,77,29,51,0.273541869,367,1,1
G000556,1,0,0,1,0,1,0,1,70,0.524849325,203,372,99,338,139,106,1,0.251496622,382,0,0
G000558,1,0,1,0,0,1,0,1,70,0.962301988,5,234,282,1090,9,21,124,0.807463688,85,1,1
G000559,1,0,0,1,0,1,0,1,70,0.227466435,384,427,58,89,347,13,251,0.281807709,355,1,1
G000560,1,0,1,0,0,1,0,1,70,0.000419312,438,143,395,0,436,3,423,0.751867926,133,1,1
G000563,1,0,1,0,0,1,0,1,70,0.420230983,271,227,289,99,332,6,390,0.838812751,55,1,1
G000564,1,0,1,0,0,1,0,0,270,0.83304307,34,398,79,679,44,21,124,0.659880284,214,0,0
G000565,1,0,1,0,0,1,0,0,270,0.899267705,13,413,67,1079,10,40,16,0.962992643,5,1,1
G000566,1,0,1,0,0,1,0,6,5,0.311867535,335,130,412,52,382,2,429,0.67537255,202,0,1
G000568,1,0,1,0,0,1,0,0,270,0.770329433,54,198,333,479,92,26,75,0.747519289,140,1,1
G000570,1,0,1,0,0,1,0,0,270,0.827831238,36,202,326,590,58,19,153,0.733739996,153,0,0
G000571,1,0,0,1,0,0,1,0,270,0.712923113,72,268,226,417,110,25,84,0.431503936,268,1,1
G000574,1,0,0,1,0,1,0,0,270,0.30381434,342,290,190,118,305,10,314,0.290162158,349,1,1
G000575,1,0,0,1,0,0,1,0,270,0.244384109,377,189,343,57,380,10,314,0.472649974,258,0,0
G000576,1,0,1,0,0,1,0,1,70,0.163431216,404,316,157,29,413,10,314,0.931998595,7,1,1
G000577,1,0,1,0,0,1,0,0,270,0.366788409,304,97,424,100,328,11,289,0.654061784,215,1,1
H000324,1,0,0,1,0,1,0,1,70,0.683068835,89,818,4,562,66,26,75,0.151453164,423,1,1
H000636,1,0,0,1,0,1,0,1,70,0.342754012,321,323,152,203,224,10,314,0.313611283,338,0,0
H000874,1,0,0,1,0,1,0,0,270,0.105254412,417,90,429,34,409,4,411,0.363219846,292,1,1
H001034,1,0,0,1,0,1,0,1,70,0.672886051,93,801,5,950,15,53,8,0.07930599,436,0,0
H001036,1,0,1,0,0,1,0,5,12,0.049062917,426,245,270,5,428,2,429,0.888837685,21,0,1
H001038,1,0,0,1,0,1,0,1,70,0.302580567,343,354,113,121,300,16,198,0.323675649,325,1,1
H001045,1,0,1,0,0,1,0,11,1,0.670298794,94,256,252,350,133,12,274,0.801405631,89,0,1
H001047,1,0,0,1,0,1,0,1,70,0.348389686,317,264,236,130,293,14,232,0.363079287,293,1,1
H001048,1,0,1,0,0,1,0,2,53,0.642681638,112,218,306,289,166,27,68,0.718936931,164,1,1
H001050,1,0,0,1,0,0,1,0,270,0.019560987,434,5,437,0,436,0,437,0.486657503,257,0,1
H001051,1,0,1,0,0,1,0,1,70,0.605734412,138,344,127,369,129,16,198,0.62056276,234,0,0
H001052,1,0,1,0,0,1,0,0,270,0.334710153,326,208,318,67,374,7,369,0.815353685,77,1,1
H001053,1,0,1,0,0,0,1,1,70,0.402909944,285,263,238,95,335,7,369,0.857904054,45,1,1
H001055,1,0,1,0,0,1,0,2,53,0.54944899,184,265,231,245,192,16,198,0.716926392,167,0,0
H001056,1,0,1,0,0,0,1,1,70,0.225711007,386,144,392,55,381,10,314,0.641020452,221,1,1
H001057,1,0,1,0,0,1,0,1,70,0.220959337,388,236,279,37,403,5,403,0.8755812,31,0,0
H001058,1,0,1,0,0,1,0,1,70,0.481213524,226,208,318,152,273,14,232,0.81173467,82,1,1
H001059,1,0,1,0,0,1,0,0,270,0.454536732,243,222,300,151,274,16,198,0.769059047,114,0,1
H001060,1,0,1,0,0,1,0,1,70,0.150935501,407,115,418,29,413,9,343,0.684961894,196,0,0
H001063,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H001064,1,0,0,1,0,1,0,0,270,0.311731905,336,286,197,114,312,11,289,0.369303305,288,1,1
H001065,1,0,1,0,0,1,0,0,270,0.63061423,117,136,403,230,198,12,274,0.707053144,180,0,0
H001067,1,0,1,0,0,1,0,0,270,0.807478861,46,239,276,441,102,10,314,0.836980023,56,1,1
H001068,1,0,0,1,0,1,0,1,70,0.501702262,218,546,29,452,98,33,34,0.23481645,397,1,1
H001070,1,0,1,0,0,1,0,1,70,0.187559206,399,164,369,37,403,14,232,0.74882502,136,0,0
H001071,1,0,1,0,0,1,0,0,270,0.587764085,157,248,265,246,190,11,289,0.86671578,38,1,1
H001072,1,0,1,0,0,1,0,0,270,0.117462526,414,200,328,35,407,11,289,0.778038321,106,1,1
H001073,1,0,1,0,0,1,0,1,70,0.268976265,367,140,398,74,364,14,232,0.661362512,212,1,1
I000056,1,0,1,0,0,1,0,1,70,0.596722149,148,155,377,282,169,21,124,0.648454819,219,0,1
I000057,1,0,0,1,0,1,0,0,270,0.628120912,119,415,66,487,89,48,10,0.322475709,327,0,0
J000032,1,0,0,1,0,0,1,1,70,0.600869602,145,616,16,710,38,76,2,0.140375343,426,1,1
J000126,1,0,0,1,0,0,1,5,12,0.539818733,191,300,180,295,161,20,131,0.308958759,342,1,1
J000174,1,0,1,0,0,1,0,1,70,0.928109128,10,223,297,819,23,35,28,0.846588167,52,0,1
J000255,1,0,1,0,0,1,0,0,270,0.536069857,194,563,23,226,200,27,68,0.786714517,102,1,1
