id,HOUSE,SENATE,GOP,DEM,IND,MALE,FEMALE,COMMITTEE,COMMITTEE_RANK,LEADERSHIP,LEADERSHIP_RANK,COSPONSORED,COSPONSORED_RANK,COSPONSORS,COSPONSORS_RANK,SPONSORED,SPONSORED_RANK,IDEOLOGY,IDEOLOGY_RANK,election_recent,election_past
A000360,0,1,1,0,0,1,0,6,10,0.79,5,150,94,470,12,50,31,0.715036151,46,0,0
A000368,0,1,1,0,0,0,1,2,45,0.7,18,432,4,386,22,43,44,0.690703991,50,0,0
B000575,0,1,1,0,0,1,0,16,1,0.75,11,305,30,439,17,52,27,0.814047331,27,0,1
B000711,0,1,0,1,0,0,1,12,2,0.41,73,381,12,245,42,51,29,0.106300733,93,0,0
B000944,0,1,0,1,0,1,0,6,10,0.75,12,408,10,558,8,71,13,0.116968652,90,1,0
B001135,0,1,1,0,0,1,0,5,35,0.51,49,204,73,212,57,45,39,0.751565148,42,0,1
B001230,0,1,0,1,0,0,1,1,80,0.49,52,423,8,299,33,46,36,0.137084993,86,1,0
B001236,0,1,1,0,0,1,0,2,45,0.61,30,281,38,245,42,25,79,0.866086274,13,0,1
B001261,0,1,1,0,0,1,0,7,6,0.65,27,185,82,334,26,39,55,0.916690886,4,1,0
B001267,0,1,0,1,0,1,0,2,45,0.29,86,333,23,101,82,30,67,0.390537808,63,0,1
B001277,0,1,0,1,0,1,0,6,10,0.68,22,479,1,541,11,77,8,0.110664254,92,0,1
B001288,0,1,0,1,0,1,0,2,45,0.52,48,318,27,269,36,47,34,0.243253148,74,0,0
C000127,0,1,0,1,0,0,1,6,10,0.46,63,257,48,229,48,40,50,0.288304297,67,1,0
C000141,0,1,0,1,0,1,0,6,10,0.78,6,301,31,711,3,80,6,0.224953465,76,1,0
C000174,0,1,0,1,0,1,0,6,10,0.61,32,179,85,256,40,31,65,0.393677711,62,1,0
C000542,0,1,1,0,0,1,0,6,10,0.15,95,138,95,34,98,15,94,0.829904898,22,0,0
C000567,0,1,1,0,0,1,0,6,10,0.12,97,215,67,39,97,13,96,0.751187629,43,0,0
C000880,0,1,1,0,0,1,0,3,41,0.56,39,232,58,239,46,27,71,0.850367359,18,0,1
C001035,0,1,1,0,0,0,1,6,10,0.7,19,338,21,450,15,47,34,0.429959397,61,0,0
C001047,0,1,1,0,0,0,1,2,45,0.46,64,278,41,138,77,20,83,0.754329679,41,0,0
C001056,0,1,1,0,0,1,0,2,45,0.83,4,244,55,542,10,52,27,0.852797509,16,0,0
C001070,0,1,0,1,0,1,0,3,41,0.72,15,314,28,429,19,73,10,0.278918792,68,1,0
C001071,0,1,1,0,0,1,0,5,35,0.67,23,81,99,304,31,23,80,0.700694559,47,0,0
C001075,0,1,1,0,0,1,0,1,80,0.45,67,178,86,163,69,46,36,0.828001054,23,0,0
C001088,0,1,0,1,0,1,0,2,45,0.45,65,427,6,183,67,43,44,0.277368443,69,0,1
C001095,0,1,1,0,0,1,0,1,80,0.34,78,218,66,107,81,20,83,0.873920689,10,0,0
C001098,0,1,1,0,0,1,0,2,45,0.54,45,193,79,205,61,40,50,0.91694997,3,1,0
D000563,0,1,0,1,0,1,0,2,45,0.44,71,426,7,288,34,53,24,0.07358745,95,0,0
D000607,0,1,0,1,0,1,0,2,45,0.29,85,189,80,73,90,18,91,0.560723686,55,0,0
D000618,0,1,1,0,0,1,0,0,96,0.34,80,229,60,108,79,38,57,0.857257085,15,0,0
E000285,0,1,1,0,0,1,0,6,10,0.54,44,206,71,210,60,39,55,0.867041486,12,0,0
E000295,0,1,1,0,0,0,1,1,80,0.5,50,172,88,160,70,17,92,0.780123161,37,0,0
F000062,0,1,0,1,0,0,1,6,10,0.78,8,376,14,552,9,67,16,0.136649463,87,1,0
F000444,0,1,1,0,0,1,0,2,45,0.66,26,171,89,288,34,55,23,0.809365403,28,0,0
F000457,0,1,0,1,0,1,0,2,45,0.44,69,452,3,218,52,44,43,0.051537588,97,0,0
F000463,0,1,1,0,0,0,1,2,45,0.49,53,198,75,175,68,40,50,0.8804486,8,1,0
G000359,0,1,1,0,0,1,0,3,41,0.47,59,170,90,139,76,20,83,0.693188529,49,0,0
G000386,0,1,1,0,0,1,0,10,4,0.89,3,247,52,760,2,94,3,0.754883703,40,0,1
G000555,0,1,0,1,0,0,1,2,45,0.61,31,457,2,386,22,40,50,0.063093424,96,1,0
G000562,0,1,1,0,0,1,0,1,80,0.4,74,247,52,141,74,46,36,0.817444293,25,0,0
H000338,0,1,1,0,0,1,0,10,4,0.91,2,248,50,704,4,108,2,0.784213551,35,0,0
H001041,0,1,1,0,0,1,0,2,45,0.54,43,232,58,228,49,56,22,0.694560193,48,0,0
H001042,0,1,0,1,0,0,1,2,45,0.58,37,338,21,367,24,51,29,0.127638661,88,1,0
H001046,0,1,0,1,0,1,0,1,80,0.18,93,309,29,75,89,28,70,0.262075609,71,1,0
H001061,0,1,1,0,0,1,0,2,45,0.49,54,166,91,150,72,27,71,0.787966029,33,0,1
H001069,0,1,0,1,0,0,1,3,41,0.59,33,247,52,316,29,38,57,0.55879514,56,0,0
I000024,0,1,1,0,0,1,0,5,35,0.57,38,263,45,224,50,41,47,1,1,0,0
I000055,0,1,1,0,0,1,0,11,3,0.67,24,282,37,310,30,45,39,0.823967357,24,0,1
J000293,0,1,1,0,0,1,0,6,10,0.55,41,198,75,216,56,49,32,0.844720441,19,0,1
K000360,0,1,1,0,0,1,0,2,45,0.72,16,371,17,408,20,74,9,0.627177293,52,0,0
