from,to,bill
R000580,A000372,hconres100-114
R000580,A000373,hconres100-114
R000580,B001255,hconres100-114
R000580,B001284,hconres100-114
R000580,B001295,hconres100-114
R000580,C000266,hconres100-114
R000580,C001106,hconres100-114
R000580,C001107,hconres100-114
R000580,D000604,hconres100-114
R000580,D000610,hconres100-114
R000580,D000613,hconres100-114
R000580,F000448,hconres100-114
R000580,F000451,hconres100-114
R000580,F000456,hconres100-114
R000580,G000570,hconres100-114
R000580,H001036,hconres100-114
R000580,H001053,hconres100-114
R000580,H001059,hconres100-114
R000580,I000056,hconres100-114
R000580,J000292,hconres100-114
R000580,J000295,hconres100-114
R000580,K000376,hconres100-114
R000580,K000378,hconres100-114
R000580,L000480,hconres100-114
R000580,L000563,hconres100-114
R000580,L000564,hconres100-114
R000580,L000566,hconres100-114
R000580,L000567,hconres100-114
R000580,L000578,hconres100-114
R000580,L000584,hconres100-114
R000580,M001144,hconres100-114
R000580,M001157,hconres100-114
R000580,M001193,hconres100-114
R000580,N000189,hconres100-114
R000580,P000588,hconres100-114
R000580,P000591,hconres100-114
R000580,P000592,hconres100-114
R000580,P000594,hconres100-114
R000580,P000602,hconres100-114
R000580,P000611,hconres100-114
R000580,R000409,hconres100-114
R000580,R000582,hconres100-114
R000580,R000586,hconres100-114
R000580,R000601,hconres100-114
R000580,S000344,hconres100-114
R000580,S001189,hconres100-114
R000580,S001192,hconres100-114
R000580,T000462,hconres100-114
R000580,W000812,hconres100-114
R000580,W000813,hconres100-114
R000580,W000814,hconres100-114
R000580,W000815,hconres100-114
R000580,Y000063,hconres100-114
R000580,Z000017,hconres100-114
Y000065,A000374,hconres101-114
Y000065,B001284,hconres101-114
Y000065,C001059,hconres101-114
Y000065,D000533,hconres101-114
Y000065,H001045,hconres101-114
Y000065,H001053,hconres101-114
Y000065,H001071,hconres101-114
Y000065,K000388,hconres101-114
Y000065,M000312,hconres101-114
Y000065,S001180,hconres101-114
Y000065,Y000066,hconres101-114
F000043,L000263,hconres10-114
F000043,V000130,hconres10-114
E000291,B001274,hconres103-114
E000291,C001048,hconres103-114
M001180,B000213,hconres105-114
M001180,B001248,hconres105-114
M001180,B001275,hconres105-114
M001180,B001282,hconres105-114
M001180,C001096,hconres105-114
M001180,G000558,hconres105-114
M001180,G000563,hconres105-114
M001180,G000565,hconres105-114
M001180,G000568,hconres105-114
M001180,H001052,hconres105-114
M001180,H001067,hconres105-114
M001180,J000174,hconres105-114
M001180,J000297,hconres105-114
M001180,M001144,hconres105-114
M001180,M001151,hconres105-114
M001180,M001190,hconres105-114
M001180,M001195,hconres105-114
M001180,P000588,hconres105-114
M001180,P000591,hconres105-114
M001180,P000605,hconres105-114
M001180,R000395,hconres105-114
M001180,R000582,hconres105-114
M001180,R000586,hconres105-114
M001180,R000592,hconres105-114
M001180,R000598,hconres105-114
M001180,R000603,hconres105-114
M001180,W000413,hconres105-114
M001180,W000795,hconres105-114
M001180,W000815,hconres105-114
M001180,W000816,hconres105-114
F000445,C001093,hconres108-114
F000445,F000449,hconres108-114
F000445,G000289,hconres108-114
F000445,K000376,hconres108-114
F000445,M001144,hconres108-114
F000445,P000523,hconres108-114
G000553,A000370,hconres110-114
G000553,B000490,hconres110-114
G000553,B000911,hconres110-114
G000553,B001251,hconres110-114
G000553,B001270,hconres110-114
G000553,C001067,hconres110-114
G000553,C001072,hconres110-114
G000553,D000096,hconres110-114
G000553,F000043,hconres110-114
G000553,F000455,hconres110-114
G000553,J000032,hconres110-114
G000553,J000126,hconres110-114
G000553,J000294,hconres110-114
G000553,L000287,hconres110-114
G000553,L000551,hconres110-114
G000553,M001137,hconres110-114
G000553,M001160,hconres110-114
G000553,R000053,hconres110-114
G000553,R000515,hconres110-114
G000553,R000588,hconres110-114
G000553,S000185,hconres110-114
G000553,V000131,hconres110-114
G000553,W000187,hconres110-114
G000553,W000808,hconres110-114
M001181,D000610,hconres111-114
M001181,I000057,hconres111-114
Q000023,H001055,hconres11-114
Q000023,L000551,hconres11-114
B001255,B001273,hconres112-114
B001255,B001283,hconres112-114
B001255,G000565,hconres112-114
B001255,G000577,hconres112-114
B001255,H001071,hconres112-114
B001255,J000174,hconres112-114
B001255,N000184,hconres112-114
B001255,P000601,hconres112-114
B001255,S000250,hconres112-114
B001255,S001176,hconres112-114
B001255,S001187,hconres112-114
P000599,P000596,hconres113-114
S001192,A000373,hconres114-114
S001192,B001250,hconres114-114
S001192,B001273,hconres114-114
S001192,C000266,hconres114-114
S001192,C001076,hconres114-114
S001192,C001077,hconres114-114
S001192,D000533,hconres114-114
S001192,D000600,hconres114-114
S001192,D000615,hconres114-114
S001192,D000616,hconres114-114
S001192,F000449,hconres114-114
S001192,H001056,hconres114-114
S001192,H001070,hconres114-114
S001192,J000296,hconres114-114
S001192,L000571,hconres114-114
S001192,L000584,hconres114-114
S001192,M001157,hconres114-114
S001192,M001187,hconres114-114
S001192,N000181,hconres114-114
S001192,N000185,hconres114-114
S001192,N000189,hconres114-114
S001192,P000592,hconres114-114
S001192,R000409,hconres114-114
S001192,R000435,hconres114-114
S001192,R000583,hconres114-114
S001192,R000593,hconres114-114
S001192,S000018,hconres114-114
S001192,S000244,hconres114-114
S001192,S001172,hconres114-114
S001192,W000814,hconres114-114
T000473,G000571,hconres115-114
B001269,C001072,hconres117-114
M001151,B001227,hconres118-114
M001151,B001269,hconres118-114
M001151,B001296,hconres118-114
M001151,C001090,hconres118-114
M001151,C001106,hconres118-114
M001151,D000482,hconres118-114
M001151,D000604,hconres118-114
M001151,F000043,hconres118-114
M001151,F000451,hconres118-114
M001151,K000376,hconres118-114
M001151,M001179,hconres118-114
M001151,M001181,hconres118-114
M001151,P000373,hconres118-114
M001151,P000605,hconres118-114
M001151,R000585,hconres118-114
M001151,R000598,hconres118-114
M001151,S001154,hconres118-114
M001151,T000467,hconres118-114
H000874,B001292,hconres119-114
H000874,C001078,hconres119-114
H000874,C001105,hconres119-114
H000874,D000620,hconres119-114
H000874,E000290,hconres119-114
H000874,N000147,hconres119-114
H000874,V000128,hconres119-114
K000210,H000874,hconres120-114
K000210,P000096,hconres120-114
K000210,R000578,hconres120-114
S000522,E000179,hconres121-114
S000522,P000373,hconres121-114
S000522,P000594,hconres121-114
S000522,R000487,hconres121-114
P000588,A000371,hconres122-114
P000588,C001053,hconres122-114
P000588,C001094,hconres122-114
P000588,G000551,hconres122-114
P000588,G000565,hconres122-114
P000588,K000368,hconres122-114
P000588,K000381,hconres122-114
P000588,L000570,hconres122-114
P000588,L000580,hconres122-114
P000588,M001143,hconres122-114
P000588,M001182,hconres122-114
P000588,S000510,hconres122-114
P000588,T000473,hconres122-114
P000588,T000474,hconres122-114
P000588,Y000033,hconres122-114
P000588,Z000018,hconres122-114
G000289,B001290,hconres123-114
G000289,B001292,hconres123-114
G000289,C001078,hconres123-114
G000289,C001105,hconres123-114
G000289,F000445,hconres123-114
G000289,G000568,hconres123-114
G000289,H001060,hconres123-114
G000289,R000589,hconres123-114
G000289,S000185,hconres123-114
G000289,W000804,hconres123-114
T000473,G000546,hconres124-114
T000473,G000571,hconres124-114
T000473,L000579,hconres124-114
B001281,B001251,hconres127-114
B001281,C000714,hconres127-114
B001281,C001061,hconres127-114
B001281,H001063,hconres127-114
B001281,N000147,hconres127-114
L000564,A000055,hconres128-114
L000564,B001273,hconres128-114
L000564,B001284,hconres128-114
L000564,C001090,hconres128-114
L000564,C001105,hconres128-114
L000564,C001106,hconres128-114
L000564,F000456,hconres128-114
L000564,F000458,hconres128-114
L000564,G000575,hconres128-114
L000564,H001045,hconres128-114
L000564,H001055,hconres128-114
L000564,H001067,hconres128-114
L000564,K000378,hconres128-114
L000564,L000578,hconres128-114
L000564,M001158,hconres128-114
L000564,M001177,hconres128-114
L000564,M001193,hconres128-114
L000564,M001195,hconres128-114
L000564,M001197,hconres128-114
L000564,P000601,hconres128-114
L000564,R000575,hconres128-114
L000564,R000582,hconres128-114
L000564,R000592,hconres128-114
L000564,R000593,hconres128-114
L000564,R000603,hconres128-114
L000564,S000522,hconres128-114
R000435,B001257,hconres129-114
R000435,B001281,hconres129-114
R000435,B001296,hconres129-114
R000435,C000266,hconres129-114
R000435,C000714,hconres129-114
R000435,C001068,hconres129-114
R000435,C001078,hconres129-114
R000435,C001084,hconres129-114
R000435,C001107,hconres129-114
R000435,D000600,hconres129-114
R000435,D000610,hconres129-114
R000435,D000621,hconres129-114
R000435,D000622,hconres129-114
R000435,D000625,hconres129-114
R000435,E000179,hconres129-114
R000435,F000462,hconres129-114
R000435,G000551,hconres129-114
R000435,G000556,hconres129-114
R000435,H001034,hconres129-114
R000435,I000057,hconres129-114
R000435,J000294,hconres129-114
R000435,K000381,hconres129-114
R000435,L000263,hconres129-114
R000435,L000480,hconres129-114
R000435,L000564,hconres129-114
R000435,L000579,hconres129-114
