from,to,bill
R000584,A000368,s1000-114
R000584,C001088,s1000-114
R000584,G000562,s1000-114
R000584,P000595,s1000-114
R000584,U000039,s1000-114
R000584,A000368,s1001-114
R000584,C001088,s1001-114
R000584,G000562,s1001-114
R000584,H001042,s1001-114
R000584,P000595,s1001-114
R000584,S001181,s1001-114
C000141,B000575,s1002-114
C000141,B001236,s1002-114
C000141,C000174,s1002-114
C000141,C001047,s1002-114
C000141,E000285,s1002-114
C000141,I000055,s1002-114
C000141,M000934,s1002-114
C000141,R000307,s1002-114
C000141,R000584,s1002-114
C000141,V000127,s1002-114
C000141,W000437,s1002-114
C001035,W000779,s1003-114
K000360,C001056,s1004-114
K000360,D000563,s1004-114
K000360,I000024,s1004-114
K000360,M000133,s1004-114
K000360,M001183,s1004-114
K000360,S000770,s1004-114
K000360,W000817,s1004-114
F000062,B000711,s1006-114
F000062,B001277,s1006-114
F000062,G000555,s1006-114
F000062,M000133,s1006-114
F000062,M001169,s1006-114
F000062,N000032,s1006-114
F000062,S000148,s1006-114
P000449,B000944,s1007-114
M001183,L000575,s1010-114
M001183,S001184,s1010-114
M001183,V000127,s1010-114
C000127,C001035,s1011-114
C000127,S001181,s1011-114
S001184,B001267,s10-114
S001184,C001070,s10-114
S001184,G000359,s10-114
S001184,W000779,s10-114
B000944,B000711,s1012-114
B000944,B001230,s1012-114
B000944,B001267,s1012-114
B000944,B001277,s1012-114
B000944,B001288,s1012-114
B000944,C000127,s1012-114
B000944,C000141,s1012-114
B000944,C000174,s1012-114
B000944,C001070,s1012-114
B000944,C001088,s1012-114
B000944,D000563,s1012-114
B000944,F000062,s1012-114
B000944,F000457,s1012-114
B000944,G000555,s1012-114
B000944,H001042,s1012-114
B000944,H001046,s1012-114
B000944,H001069,s1012-114
B000944,K000367,s1012-114
B000944,K000383,s1012-114
B000944,K000384,s1012-114
B000944,L000174,s1012-114
B000944,M000133,s1012-114
B000944,M000639,s1012-114
B000944,M000702,s1012-114
B000944,M001111,s1012-114
B000944,M001169,s1012-114
B000944,M001170,s1012-114
B000944,M001176,s1012-114
B000944,N000032,s1012-114
B000944,P000595,s1012-114
B000944,R000122,s1012-114
B000944,R000146,s1012-114
B000944,S000033,s1012-114
B000944,S000148,s1012-114
B000944,S000770,s1012-114
B000944,S001181,s1012-114
B000944,S001194,s1012-114
B000944,T000464,s1012-114
B000944,U000039,s1012-114
B000944,W000779,s1012-114
B000944,W000802,s1012-114
B000944,W000805,s1012-114
B000944,W000817,s1012-114
C000567,A000368,s1013-114
C000567,B000575,s1013-114
C000567,B001236,s1013-114
C000567,B001267,s1013-114
C000567,B001277,s1013-114
C000567,C001047,s1013-114
C000567,C001088,s1013-114
C000567,G000359,s1013-114
C000567,G000555,s1013-114
C000567,K000360,s1013-114
C000567,M000133,s1013-114
C000567,M000934,s1013-114
C000567,M001169,s1013-114
C000567,M001176,s1013-114
C000567,N000032,s1013-114
C000567,S000148,s1013-114
C000567,S000770,s1013-114
C000567,T000464,s1013-114
C000567,W000437,s1013-114
F000062,B000711,s1014-114
F000062,C001035,s1014-114
F000062,G000555,s1014-114
F000062,H001042,s1014-114
F000062,K000360,s1014-114
F000062,K000367,s1014-114
J000293,B000575,s1016-114
J000293,B001261,s1016-114
J000293,C000542,s1016-114
J000293,C000567,s1016-114
J000293,C000880,s1016-114
J000293,C001056,s1016-114
J000293,D000618,s1016-114
J000293,E000285,s1016-114
J000293,E000295,s1016-114
J000293,F000463,s1016-114
J000293,G000359,s1016-114
J000293,G000386,s1016-114
J000293,G000562,s1016-114
J000293,H000338,s1016-114
J000293,H001041,s1016-114
J000293,I000024,s1016-114
J000293,I000055,s1016-114
J000293,K000360,s1016-114
J000293,M000303,s1016-114
J000293,M000355,s1016-114
J000293,P000612,s1016-114
J000293,R000307,s1016-114
J000293,R000584,s1016-114
J000293,R000605,s1016-114
J000293,S000320,s1016-114
J000293,S001141,s1016-114
J000293,S001184,s1016-114
J000293,S001198,s1016-114
J000293,T000250,s1016-114
J000293,T000476,s1016-114
J000293,W000437,s1016-114
P000603,L000577,s1019-114
P000603,M000355,s1019-114
V000127,A000360,s1020-114
V000127,A000368,s1020-114
V000127,B000575,s1020-114
V000127,B001135,s1020-114
V000127,B001267,s1020-114
V000127,C000141,s1020-114
V000127,C000880,s1020-114
V000127,C001035,s1020-114
V000127,C001075,s1020-114
V000127,H001046,s1020-114
V000127,K000367,s1020-114
V000127,M000934,s1020-114
V000127,R000307,s1020-114
V000127,W000437,s1020-114
D000563,C001088,s1021-114
D000563,M001169,s1021-114
D000563,M001169,s1022-114
M000934,G000555,s1023-114
K000360,P000449,s1024-114
B001261,E000285,s1026-114
B001261,H001061,s1026-114
B001261,H001069,s1026-114
B001261,M001183,s1026-114
K000360,G000555,s1027-114
H001061,A000360,s1029-114
W000779,P000603,s1030-114
M001111,A000360,s1031-114
G000386,B001236,s1032-114
G000386,C000567,s1032-114
G000386,C001047,s1032-114
G000386,C001071,s1032-114
G000386,C001095,s1032-114
G000386,E000285,s1032-114
G000386,E000295,s1032-114
G000386,F000463,s1032-114
G000386,I000024,s1032-114
G000386,L000577,s1032-114
G000386,P000612,s1032-114
G000386,S000320,s1032-114
G000386,S001141,s1032-114
G000386,S001184,s1032-114
G000386,T000250,s1032-114
G000386,V000127,s1032-114
G000386,W000437,s1032-114
C001088,A000360,s1033-114
C001088,H001046,s1033-114
C001088,U000039,s1033-114
C001088,W000779,s1033-114
M000355,B001135,s1035-114
G000562,B001261,s1036-114
G000562,C000880,s1036-114
G000562,D000618,s1036-114
G000562,E000285,s1036-114
G000562,H000338,s1036-114
G000562,H001041,s1036-114
G000562,L000577,s1036-114
G000562,R000584,s1036-114
R000584,G000562,s1038-114
H001041,A000368,s1040-114
H001041,B001236,s1040-114
H001041,C000880,s1040-114
H001041,C001095,s1040-114
H001041,D000618,s1040-114
H001041,G000562,s1040-114
H001041,L000575,s1040-114
H001041,M001183,s1040-114
H001041,S001198,s1040-114
S000033,M000133,s1041-114
S000033,M001176,s1041-114
M000639,B001277,s1042-114
M000639,B001288,s1042-114
M000639,C000141,s1042-114
M000639,M000133,s1042-114
M000639,M000702,s1042-114
M000639,M001176,s1042-114
M000639,N000032,s1042-114
M000639,R000122,s1042-114
M000639,S000033,s1042-114
M000639,S001194,s1042-114
